No_,Description,Base Unit of Measure,Inventory Posting Group,Gen_ Prod_ Posting Group,Global Dimension 1 Code,Global Dimension 2 Code,Item Category Code
7CN10628,Wax Ribbon 105mm x 300Meter,PCS,CONSUMABLE,CONSUMABLE,,,22128
7CN10629, CON -Ink MB175H-4 x 0.8 L,PCS,CONSUMABLE,CONSUMABLE,,,22128
7CN10630,Table Matt,PCS,PRINT STNY,PRINT STNY,,,22127
7DP10009,CON - Bent Straw ,PCS,PACK MAT,PACK MAT,,,22128
7DP10011,CON - Bottle Brush ,PCS,CLEAN WASH,CLEAN WASH,,,22128
7DP10021,CON - Cool Drink Straw ,PCS,PACK MAT,PACK MAT,,,22128
7DP10026,CON - Disp Blades ,PCS,CONSUMABLE,CONSUMABLE,,,22128
7DP10027,CON - Disp Cake Knife ,PCS,PACK MAT,PACK MAT,,,22128
7DP10029,CON - Disp Plastic Forks ( 2500Pcs X 1 ),PCS,PACK MAT,PACK MAT,,,22128
7DP10030,CON - Disp Plates Bakery,PCS,PACK MAT,PACK MAT,,,22128
7DP10031,CON - Disp Pqs Spoons ,PCS,PACK MAT,PACK MAT,,,22128
7DP10032,CON - Disp Sauce Bottles ,PCS,PACK MAT,PACK MAT,,,22128
7DP10033,CON - Disp Spraygun ,PCS,PACK MAT,PACK MAT,,,22128
7DP10035,Disposable Plates,PCS,PACK MAT,PACK MAT,,,22128
7DP10036,CON - Disposable Shahi Kulfi Bowl ( 2400Pcs X 1 ),PCS,PACK MAT,PACK MAT,,,22128
7DP10038,CON - Disposable Spoons ,PCS,PACK MAT,PACK MAT,,,22128
7DP10051,CON - Flower Candles ,PCS,PACK MAT,PACK MAT,,,22128
7DP10054,CON - Folded Napkins ( 30Pcs X 1 ),PCS,CONSUMABLE,CONSUMABLE,,,22128
7DP10059,HK - Glass Cleaning Combi Kit ,PCS,CONSUMABLE,CONSUMABLE,,,22126
7DP10067,CON - Intelligent Candles ,PCS,PACK MAT,PACK MAT,,,22128
7DP10070,CON - Magic Candles ,PCS,PACK MAT,PACK MAT,,,22128
7DP10074,CON - Number Candles ,PCS,PACK MAT,PACK MAT,,,22128
7DP10081,CON - Paper Napkin White ( 100Pkt X 1 ),PCS,CONSUMABLE,CONSUMABLE,,,22128
7DP10084,CON - Plastic Scrubber ,PCS,CLEAN WASH,CLEAN WASH,,,22128
7DP10086,CON - Small Disposable Spoon,PCS,PACK MAT,PACK MAT,,,22128
7DP10088,CON - Snow Spray ,PCS,RAW MAT,RAW MAT,,,22128
7DP10091,CON - Spl Disposable Fork ,PCS,PACK MAT,PACK MAT,,,22128
7DP10093,CON - Spl Disposable Spoon ,PCS,PACK MAT,PACK MAT,,,22128
7DP10105,CON - Tooth Pick Round ,PCS,CONSUMABLE,CONSUMABLE,,,22128
7DP10112,CON - Disp. Haleem Spoon ,PCS,PACK MAT,PACK MAT,,,22128
7DP10118,CON - Sparkal Candle ,PCS,PACK MAT,PACK MAT,,,22128
7DP10148,Paper Quarter Plate 7'' Round,PCS,PACK MAT,PACK MAT,,,27148
7DP10152,CON - Coke Glass 300Ml With Lid,PCS,PACK MAT,PACK MAT,,,22128
7DP10153,Oven Cleaner Tablets (RED) 100 PCS,PCS,CONSUMABLE,CONSUMABLE,,,22125
7DP10154,Oven Care Tablets (BLUE) 150 PCS,PCS,CONSUMABLE,CONSUMABLE,,,22125
7DP10155,CON - Disp Happy Birthday Tag,PCS,CONSUMABLE,CONSUMABLE,,,22128
7DP10156,Oven Care Tablets (GREEN) 150 PCS,PCS,CONSUMABLE,CONSUMABLE,,,22125
7DP10157,CON - Sanitizer Bottle with Pump,PCS,CONSUMABLE,CONSUMABLE,,,25144
7DP10158,CON - Paper Napkin White 22 x 25 ( 100Pkt X 1 ),PCS,PACK MAT,PACK MAT,,,22128
7PK10001,Paper Box - Pastry Reg Rectangle Single - 100Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10002,"Paper Box - 1Kg Cake  (10X10"") - 100Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10006,"Paper Cover - 18 X25"" - 960 Pcs ",PCS,PACK MAT,PACK MAT,,,27148
7PK10007,Paper Box - Pastry Reg Rectangle Double -100Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10008,"Paper Box - 2 Kg Cake (12X12"") - 50Pcs ",PCS,PACK MAT,PACK MAT,,,27148
7PK10009,Paper Box - Pastry Special Triangle 2Pcs  - 100Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10010,"Paper Cover - 22 X 32"" - 480 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10011,Plastic Container - 250 Ml  (1000 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10012,"Paper Cover - 26 X 36"" - 480 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10015,Paper Box - Pastry Special Triangle 4Pcs  - 100Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10016,"Paper Box - 5 Kg Cake (20X20"") - 25Pcs ",PCS,PACK MAT,PACK MAT,,,27148
7PK10017,Plastic Container - 500 Ml  (1000 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10020,Paper Box - Pastry Special Triangle 6Pcs  - 100Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10021,Plastic Toast Cover - 30Kg,KG,PACK MAT,PACK MAT,,,27149
7PK10022,"Sf Pouch Generic Green 7 X 10"" ",PCS,PACK MAT,PACK MAT,,,27149
7PK10023,"Sf Pouch Generic Blue 7 X 10"" ",PCS,PACK MAT,PACK MAT,,,27149
7PK10026,Paper Cup - 65Ml - ( 56 X 200= 11200Pcs),PCS,PACK MAT,PACK MAT,,,27148
7PK10027,"Sf Pouch Regular Pack 8X10"" - Alu",PCS,PACK MAT,PACK MAT,,,27149
7PK10028,Premium Box Packing,PCS,PACK MAT,PACK MAT,,,27148
7PK10029,Premium Box Packing ,PCS,PACK MAT,PACK MAT,,,27148
7PK10032,"Plastic Bread Cover 8X13"" - 30Kg",KG,PACK MAT,PACK MAT,,,27149
7PK10038,"Plastic Carry Bags - 20 X 26"" - (1Kg X 25 = 25Kg)",KG,PACK MAT,PACK MAT,,,27149
7PK10039,"Sf Pouch Regular Pack 8X10"" - Chicken",PCS,PACK MAT,PACK MAT,,,27149
7PK10040,"Sf Pouch Family Pack 10 X13"" - Chicken",PCS,PACK MAT,PACK MAT,,,27149
7PK10041,"Sf Pouch Supreme Pack 12 X14"" - Chicken",PCS,PACK MAT,PACK MAT,,,27149
7PK10042,Plastic Cling Film 18''  ( 400Mt X 6Pcs) ,PCS,PACK MAT,PACK MAT,,,27149
7PK10043,"Sf Pouch Regular Pack 8X10"" - Egg",PCS,PACK MAT,PACK MAT,,,27149
7PK10044,Sf Pouch Grill Chicken/ Gift Pack Pouches 10X13,PCS,PACK MAT,PACK MAT,,,27149
7PK10045,Plastic Container 250Ml - Khubani ( 2000 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10047,Plastic Container 1000Ml - Khubani ( 500 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10048,"Sf Pouch Regular Pack 8X10"" - Mutton",PCS,PACK MAT,PACK MAT,,,27149
7PK10049,"Sf Pouch Family Pack 10 X13"" - Mutton",PCS,PACK MAT,PACK MAT,,,27149
7PK10050,"Sf Pouch Supreme Pack 12 X14"" - Mutton",PCS,PACK MAT,PACK MAT,,,27149
7PK10051,Plastic Packing Roll - ( 22Kg X 2 ),KG,PACK MAT,PACK MAT,,,27149
7PK10052,Plastic Cover - 8 X 11' - (1Kg X 25= 25Kg),KG,PACK MAT,PACK MAT,,,27149
7PK10053,"Plastic Cover - 10 X 14"" ( 1Kg X 25 = 25Kg)",KG,PACK MAT,PACK MAT,,,27149
7PK10054,"Plastic Cover - 12 X 18"" (1Kg X 25 = 25 Kg)",KG,PACK MAT,PACK MAT,,,27149
7PK10055,"Plastic Cover - 16 X 24"" (1Kg X 25 = 25 Kg)",KG,PACK MAT,PACK MAT,,,27149
7PK10056,Plastic Cover - 12 X 12' - (1Kg X 25= 25Kg),KG,PACK MAT,PACK MAT,,,27149
7PK10058,Plastic Cover - Sheermal ( 30Kg),KG,PACK MAT,PACK MAT,,,27149
7PK10061,Silver Foil Rolls - 72Mt ( 25 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10064,"Sf Pouch Special Pack 8X12"" - Chicken",PCS,PACK MAT,PACK MAT,,,27149
7PK10066,"Sf Pouch Special Pack 8X12"" - Mutton",PCS,PACK MAT,PACK MAT,,,27149
7PK10068,"Sf Pouch Family Pack 10 X13"" - Veg",PCS,PACK MAT,PACK MAT,,,27149
7PK10069,"Sf Pouch Supreme Pack 12 X14"" - Veg",PCS,PACK MAT,PACK MAT,,,27149
7PK10070,Paper Box - 500Gm Cake - 100Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10071,Paper Sticker - Plum Cake ( 9Nos/ Sheet) - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10072,Plastic Bun Cover - 7X9' - 30Kg,KG,PACK MAT,PACK MAT,,,27149
7PK10073,Plastic Tray - Muffin Tray ,PCS,PACK MAT,PACK MAT,,,27149
7PK10081,Paper Cup Muffin ( 3600 Pcs),PCS,PACK MAT,PACK MAT,,,27148
7PK10082,Plastic Container - 100 Ml  (2800 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10083,Plastic Container - 750 Ml  (600 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10084,Packaging Charges,PCS,PACK MAT,PACK MAT,,,27148
7PK10094,Plastic Top Seal Roll - Biscuit (14Kg X 2 = 28Kg),KG,PACK MAT,PACK MAT,,,27149
7PK10095,Paper Box - Biscuit Assorted - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10096,Paper Box - Biscuit Kaju - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10097,Paper Box - Biscuit Fruit - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10098,Paper Box - Biscuit Pista - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10099,Paper Box - Biscuit Chocolate - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10100,Paper Box - Biscuit Chand - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10101,Paper Box - Biscuit Almond - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10102,Paper Box - Biscuit Cornflask - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10104,Plastic Biscuit Container Black 1100Ml - 1500 Pcs,PCS,PACK MAT,PACK MAT,,,27149
7PK10107,Paper Box - Biscuit Osmania Retail Pack - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10108,"Plastic Cover - 24 X 36"" ( 1Kg X 25 = 25Kg)",KG,PACK MAT,PACK MAT,,,27149
7PK10109,Muffin Cup Large (Xmas Spc),PCS,PACK MAT,PACK MAT,,,27148
7PK10120,"Plastic Cover - 16 X 28"" (1Kg X 25 = 25 Kg)",KG,PACK MAT,PACK MAT,,,27149
7PK10122,Paper Sticker - Marinated Mutton 31 Portions,PCS,PACK MAT,PACK MAT,,,27148
7PK10123,Paper Sticker - Marinated Chicken 24 Portions,PCS,PACK MAT,PACK MAT,,,27148
7PK10124,Paper Sticker - Marinated Chicken 12 Portions,PCS,PACK MAT,PACK MAT,,,27148
7PK10125,Paper Sticker - Marinated Mutton 15 Portions,PCS,PACK MAT,PACK MAT,,,27148
7PK10126,Paper Container - Tea 1Lt/ 10 Cups,PCS,PACK MAT,PACK MAT,,,27148
7PK10127,Sf Pouch Tea Flask,PCS,PACK MAT,PACK MAT,,,27149
7PK10128,Plastic Tray - 4Cp Kebab ,PCS,PACK MAT,PACK MAT,,,27149
7PK10129,Paper Sleeve - Kebab Veg - 100 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10132,Packaging Bag Charge 3,PCS,PACK MAT,PACK MAT,,,27149
7PK10133,Packaging Bag Charge 4,PCS,PACK MAT,PACK MAT,,,27149
7PK10134,Packaging Bag Charge 5,PCS,PACK MAT,PACK MAT,,,27149
7PK10136,Sf Pouch Regular Pack 190 X 190Mm - Egg,PCS,PACK MAT,PACK MAT,,,27149
7PK10138,Sf Pouch Regular Pack 190 X 190Mm - Veg,PCS,PACK MAT,PACK MAT,,,27149
7PK10139,Sf Pouch Regular Pack 190 X 240Mm - Chicken,PCS,PACK MAT,PACK MAT,,,27149
7PK10140,Sf Pouch Regular Pack 190 X 240Mm - Mutton,PCS,PACK MAT,PACK MAT,,,27149
7PK10141,Sf Pouch Regular Pack 190 X 240Mm - Veg ,PCS,PACK MAT,PACK MAT,,,27149
7PK10142,Packaging Bag Charge 6,PCS,PACK MAT,PACK MAT,,,27149
7PK10143,Plastic Container - 1200 Ml- Regular Portion,PCS,PACK MAT,PACK MAT,,,27149
7PK10144,Plastic Container - 2500 Ml- Family Portion,PCS,PACK MAT,PACK MAT,,,27149
7PK10145,Plastic Container - 1500 Ml- Special Portion,PCS,PACK MAT,PACK MAT,,,27149
7PK10146,Plastic Container - 4500 Ml- Supreme Portion,PCS,PACK MAT,PACK MAT,,,27149
7PK10147,Paper Sticker- Container Special Portion -Chicken,PCS,PACK MAT,PACK MAT,,,27148
7PK10148,Paper Sticker - Container Family Portion - Veg,PCS,PACK MAT,PACK MAT,,,27148
7PK10150,Paper Sticker-Container Regular Portion - Chicken,PCS,PACK MAT,PACK MAT,,,27148
7PK10151,Sf Pouch Regular Pack 190 X 250Mm - Mutton,PCS,PACK MAT,PACK MAT,,,27149
7PK10152,Sf Pouch Regular Pack 190 X 250Mm - Chicken,PCS,PACK MAT,PACK MAT,,,27149
7PK10153,Sf Pouch Special Pack 190 X 250Mm - Chicken,PCS,PACK MAT,PACK MAT,,,27149
7PK10154,Sf Pouch Special Pack 190 X 250Mm - Mutton,PCS,PACK MAT,PACK MAT,,,27149
7PK10155,Sf Pouch Family Pack 240 X 310Mm - Chicken,PCS,PACK MAT,PACK MAT,,,27149
7PK10156,Sf Pouch Family Pack 240 X 310Mm - Mutton,PCS,PACK MAT,PACK MAT,,,27149
7PK10157,Sf Pouch Family Pack 240 X 310Mm - Veg,PCS,PACK MAT,PACK MAT,,,27149
7PK10158,Sf Pouch Supreme Pack 300 X 360Mm - Chicken ,PCS,PACK MAT,PACK MAT,,,27149
7PK10159,Sf Pouch Supreme Pack 300 X 360Mm - Mutton,PCS,PACK MAT,PACK MAT,,,27149
7PK10160,Sf Pouch Generic Green 190 X 250Mm,PCS,PACK MAT,PACK MAT,,,27149
7PK10161,Sf Pouch Generic Blue 190 X 250Mm,PCS,PACK MAT,PACK MAT,,,27149
7PK10162,Paper Sleeve - Iftar Combo - 100 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10163,Packaging Charges,PCS,PACK MAT,PACK MAT,,,27148
7PK10164,Sf Pouch Special Pack 200 X 305Mm -Chicken ,PCS,PACK MAT,PACK MAT,,,27149
7PK10165,Plastic Biscuit Container Black 1250Ml - 1500 Pcs,PCS,PACK MAT,PACK MAT,,,27149
7PK10166,"Plastic Container - Tamperproof 675 Ml, SB",PCS,PACK MAT,PACK MAT,,,27149
7PK10167,Repacking Labels 6 Nos/ Sheet,PCS,PACK MAT,PACK MAT,,,27148
7PK10168,Paper Box - Biscuit Osmania Non-Retail Pack-500Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10169,Printed Sealing Tape (192 Pcs X 1),PCS,PACK MAT,PACK MAT,,,27149
7PK10170,Paper Sticker - Bakery ( 7Nos/ Sheet) - 500 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10171,Paper Sticker - Container Regular Portion - Egg,PCS,PACK MAT,PACK MAT,,,27148
7PK10173,Paper Sticker - Container Regular Portion - Mutton,PCS,PACK MAT,PACK MAT,,,27148
7PK10174,Paper Sticker - Container Supreme Portion - Mutton,PCS,PACK MAT,PACK MAT,,,27148
7PK10175,Paper Sticker-Container Supreme Portion -Chicken,PCS,PACK MAT,PACK MAT,,,27148
7PK10176,Paper Sticker - Container Family Portion - Mutton,PCS,PACK MAT,PACK MAT,,,27148
7PK10177,Paper Sticker - Container Family Portion - Chicken,PCS,PACK MAT,PACK MAT,,,27148
7PK10178,Paper Sticker-Container Special Portion  - Mutton,PCS,PACK MAT,PACK MAT,,,27148
7PK10184,,,,,,,
7PK10185,Paper Virgin Craft Cover  - 215X270 Mm - 500Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10186,Bagasse Bowl 350 ML,PCS,PACK MAT,PACK MAT,,,27150
7PK10187,Wooden Fork ,PCS,PACK MAT,PACK MAT,,,27150
7PK10188,Wooden Spoon ,PCS,PACK MAT,PACK MAT,,,27150
7PK10189,Paper Straw 6Mm,PCS,PACK MAT,PACK MAT,,,27148
7PK10190,Paper Carton Box - Biscuit Packing,PCS,CONSUMABLE,CONSUMABLE,,,27148
7PK10191,Paper Mould - Cake 500Gm - 600Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10192,Paper Sticker -  (Exp.../Mfg) ,PCS,PACK MAT,PACK MAT,,,27148
7PK10193,Paper Sticker - (Outlet Tag) ,PCS,CONSUMABLE,CONSUMABLE,,,27148
7PK10194,Paper Sticker - Item Storage ,PCS,CONSUMABLE,CONSUMABLE,,,27148
7PK10195,Paper Sticker - Non Veg ,PCS,PACK MAT,PACK MAT,,,27148
7PK10196,Paper Sticker - Rose Syrup ,PCS,PACK MAT,PACK MAT,,,27148
7PK10197,Paper Sticker - Single Chicken Biryani,PCS,PACK MAT,PACK MAT,,,27148
7PK10198,Paper Sticker - Single Mutton Biryani,PCS,PACK MAT,PACK MAT,,,27148
7PK10199,Paper Sticker - Veg,PCS,CONSUMABLE,CONSUMABLE,,,27148
7PK10200,Plastic Box - Plum Cake 500G - 600 Pcs,PCS,PACK MAT,PACK MAT,,,27149
7PK10201,Plastic Container - Tamperproof 500 Ml - Haleem ,PCS,PACK MAT,PACK MAT,,,27149
7PK10202,Bagasse 10'' Round Plate ,PCS,PACK MAT,PACK MAT,,,27150
7PK10203,Bagasse Bowl 150 ML,PCS,PACK MAT,PACK MAT,,,27150
7PK10204,Bagasse Bowl 240 ML,PCS,PACK MAT,PACK MAT,,,27150
7PK10205,Bagasse Tray 10 ''-3CP Round,PCS,PACK MAT,PACK MAT,,,27150
7PK10206,Bagasse Tray - 4Cp Round,PCS,PACK MAT,PACK MAT,,,27150
7PK10207,Bagasse Tray - 5Cp Rectangle ,PCS,PACK MAT,PACK MAT,,,27150
7PK10208,"Paper Cake Base 10X10"" - 50 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10209,"Paper Cake Base 12X12"" - 50 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10210,"Paper Cake Base 14X14"" - 25Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10211,"Paper Cake Base 16X16"" -25 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10212,"Paper Cake Base 18*18"" - 25Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10213,"Paper Cake Base 8X8"" - 100 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10214,"Paper Cake Base 9X9"" - 100 Pcs",PCS,PACK MAT,PACK MAT,,,27148
7PK10215,Paper Cup Printed 110 Ml - ( 100 X 70= 7000 Pcs),PCS,PACK MAT,PACK MAT,,,27148
7PK10216,Paper Sleeve - Meal Tray Non-Veg - 100 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10217,Paper Sleeve - Meal Tray Veg - 100 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10218,Paper Sticker - Repacking Label - Exp/ Mfg,PCS,CONSUMABLE,CONSUMABLE,,,27148
7PK10219,Paper Sticker - Bakery Sku'S (7Nos/ Sheet) -500Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10220,Packaging Bag Charge 1,PCS,PACK MAT,PACK MAT,,,27149
7PK10221,Packaging Bag Charge 2,PCS,PACK MAT,PACK MAT,,,27149
7PK10222,Plastic Bottle - Rose Syrup 100 Pcs,PCS,CONSUMABLE,CONSUMABLE,,,27149
7PK10223,Plastic Container - Plum Cake 1Kg ( 600 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10224,Plastic Tray - 5Cp Executive Meal,PCS,PACK MAT,PACK MAT,,,27149
7PK10225,Plastic Glass 200Ml - Water,PCS,PACK MAT,PACK MAT,,,27149
7PK10226,Plastic Glass 250Ml - Lassi,PCS,PACK MAT,PACK MAT,,,27149
7PK10227,Plastic Glass 300Ml - Royal Kulfi,PCS,PACK MAT,PACK MAT,,,27149
7PK10228,Plastic Cup 85Ml - Tea ,PCS,PACK MAT,PACK MAT,,,27149
7PK10229,Plastic Lids - For Glass,PCS,PACK MAT,PACK MAT,,,27149
7PK10230,Paper Glass 230 Ml - Takeaway,PCS,PACK MAT,PACK MAT,,,27148
7PK10231,SF Pouch Tea Flask- 250 ML,PCS,PACK MAT,PACK MAT,,,27149
7PK10232,SF Pouch Tea Flask- 500 ML,PCS,PACK MAT,PACK MAT,,,27149
7PK10233,Paper Container - Tea 250 ML/ 2 Cups,PCS,PACK MAT,PACK MAT,,,27148
7PK10234,Paper Container - Tea 500 ML/ 5 Cups,PCS,PACK MAT,PACK MAT,,,27148
7PK10235,Sticker forContainer-sup portion,PCS,CONSUMABLE,CONSUMABLE,,,27148
7PK10236,Corn Starch Cover- 8X10 Inches,KG,PACK MAT,PACK MAT,,,27150
7PK10237,Corn Starch Cover- 10X14 Inches,KG,PACK MAT,PACK MAT,,,27150
7PK10238,Corn Starch Cover- 18X25 Inches,KG,PACK MAT,PACK MAT,,,27150
7PK10239,Corn Starch Carry Bag- 10X14 Inches,PCS,PACK MAT,PACK MAT,,,27150
7PK10240,Corn Starch Carry Bag- 13X16 Inches,PCS,PACK MAT,PACK MAT,,,27150
7PK10241,Corn Starch Carry Bag- 18X20 Inches,PCS,PACK MAT,PACK MAT,,,27150
7PK10242,Paper Sleeve - Kebab NON- Veg - 100 Pcs,PCS,PACK MAT,PACK MAT,,,27148
7PK10243,Paper Sticker - Container Regular Portion - VEG,PCS,PACK MAT,PACK MAT,,,27148
7PK10244,Sticker-Safe & Hygienic,PCS,PACK MAT,PACK MAT,,,27148
7PK10245,Plastic Container - Tamperproof 750 Ml - Oval,PCS,PACK MAT,PACK MAT,,,27149
7PK10246,Paper Sticker -Biryani Bowl- Soya Kheema,PCS,PACK MAT,PACK MAT,,,27148
7PK10247,Paper Sticker -Biryani Bowl- Mutton Kheema,PCS,PACK MAT,PACK MAT,,,27148
7PK10248,Paper Sticker -Biryani Bowl- Chicken Kheema,PCS,PACK MAT,PACK MAT,,,27148
7PK10249,PLUM CAKE 1 KG STICKERS,PCS,PACK MAT,PACK MAT,,,27148
7PK10250,PAPER STICKER-PLUM CAKE MUFFIN(100PCSX1),PCS,PACK MAT,PACK MAT,,,27148
7PK10251,PAPER STICKER-ROUND CAKE MUFFIN(100PCSX1),PCS,PACK MAT,PACK MAT,,,27148
7PK10252,BREAD TAPE,PCS,PACK MAT,PACK MAT,,,27148
7PK10253,BREAD STICKERS,PCS,PACK MAT,PACK MAT,,,27148
7PK10254,Biscuit / Coconut Badam /CB/(1 Ech X 500),PCS,PACK MAT,PACK MAT,,,27148
7PK10255,VEG BIRYANI POUCHES 8X10 ( 100PCS X 50 ),PCS,PACK MAT,PACK MAT,,,27148
7PK10256,Plastic Cover-19 X 23”,KG,PACK MAT,PACK MAT,,,27149
7PK10257,Plastic Cover - 360 X 510 mm Brista Packing,KG,PACK MAT,PACK MAT,,,27149
7PK10258,Plastic Cont-Tamp.Prof.750 ml Royal Chkn & Mutn,PCS,PACK MAT,PACK MAT,,,27149
7PK10259,"Bagasse Tray - 7"" Round",PCS,PACK MAT,PACK MAT,,,27150
7PK10260,Plastic Lid-750 ml Oval(Royal Chicken & Mutton),PCS,PACK MAT,PACK MAT,,,27149
7PK10261,Plastic Container-Tamperproof 1000 Ml(Nizami Chick,PCS,PACK MAT,PACK MAT,,,27149
7PK10262,Paper Box - Plum Cake - 500 gm,PCS,PACK MAT,PACK MAT,,,27148
7PK10263,Plastic Cont.-Tamp. Prof. 500 Ml Mini Chicken Biry,PCS,PACK MAT,PACK MAT,,,27149
7PK10264,Plastic Lid-Dome Falooda Ice Cream,PCS,PACK MAT,PACK MAT,,,27149
7PK10265,"Plastic Cover 12x13"" - Frozen Packing",KG,PACK MAT,PACK MAT,,,27149
7PK10266,Paper Carton Box - Frozen Packing,PCS,PACK MAT,PACK MAT,,,27148
7PK10267,Plastic LLDPE Stretch Film Roll(320 Mtr. X 6 Pcs),PCS,PACK MAT,PACK MAT,,,27149
7PK10268,Plastic Cont. 750 ml Rect.,PCS,PACK MAT,PACK MAT,,,27149
7PK10269,Plastic Cont. 1250 ml Rect.,PCS,PACK MAT,PACK MAT,,,27149
7PK10270,Paper Leaflet - Biryani Kit 322 g,PCS,PACK MAT,PACK MAT,,,27148
7PK10271,Plastic Pouch - 2 g Whole Spices,PCS,PACK MAT,PACK MAT,,,27149
7PK10272,Plastic Pouch - 120 g Biryani Paste,PCS,PACK MAT,PACK MAT,,,27149
7PK10273,Paper Box - 322 g Display Window Carton,PCS,PACK MAT,PACK MAT,,,27148
7PK10274,Paper Carton Box - 322 g x 24 Units,PCS,PACK MAT,PACK MAT,,,27148
7PK10275,Plastic Tray 4 Cp - Royal Biryani Meal,PCS,PACK MAT,PACK MAT,,,27149
7PK10276,"Cake Base Round 8X8"" ",PCS,PACK MAT,PACK MAT,,,27148
7PK10277,"Cake Base Round 10X10"" ",PCS,PACK MAT,PACK MAT,,,27148
7PK10278,"Cake Base Round 14X14"" ",PCS,PACK MAT,PACK MAT,,,27148
7PK10279,"Cake Base Square 14X14"" ",PCS,PACK MAT,PACK MAT,,,27148
7PK10280,"Cake Base Round 18*18"" ",PCS,PACK MAT,PACK MAT,,,27148
7PK10281,"Cake Base Square 18*18"" ",PCS,PACK MAT,PACK MAT,,,27148
7PK10282,Plastic pouch 200mm X150mm ,PCS,PACK MAT,PACK MAT,,,27149
7PK10283,Frozen Paper Sticker 140 W X 130 H,PCS,PACK MAT,PACK MAT,,,27149
7PK10284,Ripple  Paper Coffee cup 165ml ,PCS,PACK MAT,PACK MAT,,,27148
7PK10285,Fountain Paper Cup 450ml,PCS,PACK MAT,PACK MAT,,,27148
7PK10286,Fountain Paper Cup 300ml,PCS,PACK MAT,PACK MAT,,,27148
7PK10287,Fountain Paper Cup 900ml,PCS,PACK MAT,PACK MAT,,,27148
7PK10288,Fountain Paper Cup 650ml,PCS,PACK MAT,PACK MAT,,,27148
7PK10289,Fountain Paper Cup 450ml lid,PCS,PACK MAT,PACK MAT,,,27148
7PK10290,Fountain Paper Cup 300ml lid,PCS,PACK MAT,PACK MAT,,,27148
7PK10291,Fountain Paper Cup 900ml lid,PCS,PACK MAT,PACK MAT,,,27148
7PK10292,Fountain Paper Cup 650ml lid,PCS,PACK MAT,PACK MAT,,,27148
7PK10293,Disposable Paper Cup 350ml ,PCS,PACK MAT,PACK MAT,,,27148
7PK10294,Disposable Paper lid  350ml,PCS,PACK MAT,PACK MAT,,,27148
7PK10295,Disposable  Wooden Knife 16mm,PCS,PACK MAT,PACK MAT,,,27150
7PK10296,Warehouse  paper sticker 105mm x105mm,PCS,PACK MAT,PACK MAT,,,22128
7PK10297,Paper Sticker- Container Family Portion -Chicken ,PCS,PACK MAT,PACK MAT,,,22128
7PK10298,ERC Books- Maintainance ,PCS,PACK MAT,PACK MAT,,,22128
7PK10299,PMC Books- Maintainance ,PCS,PACK MAT,PACK MAT,,,22128
